accession	lab annotation	curated location	mapmapbin1 	mapmanname1	mapmapbin2	mapmanname2
GRMZM2G055331_P08   	 sucrose-phosphate synthase 1	NULL	2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS	NULL	NULL
GRMZM2G055331_P09   	 sucrose-phosphate synthase 1	NULL	2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS	NULL	NULL
GRMZM2G055489_P01   	sucrose phosphatase (SPP1)	cytosol	2.1.1.2	major CHO metabolism.synthesis.sucrose.SPP	NULL	NULL
GRMZM2G055489_P02   	 sucrose phosphate synthase	NULL	2.1.1.2	major CHO metabolism.synthesis.sucrose.SPP	NULL	NULL
GRMZM2G055489_P03   	 sucrose phosphate synthase	NULL	2.1.1.2	major CHO metabolism.synthesis.sucrose.SPP	NULL	NULL
GRMZM2G055489_P04   	 sucrose phosphate synthase	NULL	2.1.1.2	major CHO metabolism.synthesis.sucrose.SPP	NULL	NULL
GRMZM2G055527_P01   	ubiquitin-like protein	NULL	29.5.11.1	protein.degradation.ubiquitin.ubiquitin	NULL	NULL
GRMZM2G055538_P01   	myosin-like protein, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G055538_P02   	myosin-like protein, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G055538_P03   	myosin-like protein, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G055678_P01   	receptor protein kinase PERK1	plasma membrane	30.2.22	signalling.receptor kinases.proline extensin like	NULL	NULL
GRMZM2G055678_P02   	receptor protein kinase PERK1	plasma membrane	30.2.22	signalling.receptor kinases.proline extensin like	NULL	NULL
GRMZM2G055678_P03   	receptor protein kinase PERK1	plasma membrane	30.2.22	signalling.receptor kinases.proline extensin like	NULL	NULL
GRMZM2G055678_P04   	receptor protein kinase PERK1	plasma membrane	30.2.22	signalling.receptor kinases.proline extensin like	NULL	NULL
GRMZM2G055682_P01   	coiled-coil domain-containing protein 12, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G055724_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G055795_P01   	 CESA4 - cellulose synthase	NULL	10.2.1	cell wall.cellulose synthesis.cellulose synthase	NULL	NULL
GRMZM2G055795_P02   	 CESA4 - cellulose synthase	NULL	10.2.1	cell wall.cellulose synthesis.cellulose synthase	NULL	NULL
GRMZM2G055795_P03   	 CESA4 - cellulose synthase	NULL	10.2.1	cell wall.cellulose synthesis.cellulose synthase	NULL	NULL
GRMZM2G055857_P01   	 reticulon-4-interacting protein 1, mitochondrial 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G055857_P02   	 reticulon-4-interacting protein 1, mitochondrial 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G055857_P03   	 reticulon-4-interacting protein 1, mitochondrial 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G055857_P04   	 reticulon-4-interacting protein 1, mitochondrial 	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G055898_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G055905_P01   	serine/threonine-protein phosphatase 6	NULL	29.4.5	protein.postranslational modification.phosphatase	NULL	NULL
GRMZM2G055905_P02   	 serine/threonine-protein phosphatase 6	NULL	29.4	protein.postranslational modification	NULL	NULL
GRMZM2G055905_P03   	 serine/threonine-protein phosphatase 6	NULL	29.4	protein.postranslational modification	NULL	NULL
GRMZM2G055905_P04   	 serine/threonine-protein phosphatase 6	NULL	29.4	protein.postranslational modification	NULL	NULL
GRMZM2G055905_P05   	 serine/threonine-protein phosphatase 6	NULL	29.4	protein.postranslational modification	NULL	NULL
GRMZM2G055905_P08   	 serine/threonine-protein phosphatase 6	NULL	29.4	protein.postranslational modification	NULL	NULL
GRMZM2G055936_P01   	peroxiredoxin-5, mitochondrial 	NULL	21.5	redox.peroxiredoxin	NULL	NULL
GRMZM2G055982_P01   	protein kinase APK1A	NULL	29.4.1.58	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VIII	NULL	NULL
GRMZM2G056014_P01   	calcium-transporting ATPase 2, ER-type	NULL	34.21	transport.calcium	NULL	NULL
GRMZM2G056014_P02   	 calcium-transporting ATPase 2, endoplasmic reticulum-type	NULL	34.21	transport.calcium	NULL	NULL
GRMZM2G056039_P01   	BIP3; ATP binding 	not plastid	20.2.1	stress.abiotic.heat	NULL	NULL
GRMZM2G056081_P01   	saccharopine dehydrogenase	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G056081_P02   	 saccharopine dehydrogenase	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G056231_P01   	histone HTA11	nucleus	28.1.3	DNA.synthesis/chromatin structure.histone	NULL	NULL
GRMZM2G056252_P01   	omega-6 fatty acid desaturase	NULL	11.2.4	lipid metabolism.FA desaturation.omega 6 desaturase	NULL	NULL
GRMZM2G056252_P02   	 omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 2	NULL	11.2.4	lipid metabolism.FA desaturation.omega 6 desaturase	NULL	NULL
GRMZM2G056252_P03   	 omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 2	NULL	11.2.4	lipid metabolism.FA desaturation.omega 6 desaturase	NULL	NULL
GRMZM2G056252_P04   	 omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 2	NULL	11.2.4	lipid metabolism.FA desaturation.omega 6 desaturase	NULL	NULL
GRMZM2G056252_P05   	 omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 2	NULL	11.2.4	lipid metabolism.FA desaturation.omega 6 desaturase	NULL	NULL
GRMZM2G056350_P01   	MKI67 FHA domain-interacting nucleolar phosphoprotein-like, putative, expressed	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G056350_P02   	MKI67 FHA domain-interacting nucleolar phosphoprotein-like, putative, expressed	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G056350_P03   	MKI67 FHA domain-interacting nucleolar phosphoprotein-like, putative, expressed	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G056388_P01   	glutathione S-transferase GSTU6	NULL	26.9	misc.glutathione S transferases	NULL	NULL
GRMZM2G056393_P01   	elongation factor G	mitochondria	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G056393_P02   	 elongation factor G, mitochondrial 	NULL	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G056462_P01   	 eukaryotic translation initiation factor 2 beta subunit	NULL	29.2.3	protein.synthesis.initiation	NULL	NULL
GRMZM2G056488_P01   	CENP-C1, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G056488_P02   	CENP-C1, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G056488_P03   	CENP-C1, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G056495_P01   	 NPL4 family protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G056495_P02   	 NPL4 family protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G056501_P01   	 ubiquitin-conjugating enzyme spm2	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G056501_P02   	ubiquitin-conjugating enzyme spm2	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G056501_P03   	 ubiquitin-conjugating enzyme spm2	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G056501_P04   	 ubiquitin-conjugating enzyme spm2	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G056501_P05   	 ubiquitin-conjugating enzyme spm2	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G056501_P06   	 ubiquitin-conjugating enzyme spm2	NULL	29.5.11.3	protein.degradation.ubiquitin.E2	NULL	NULL
GRMZM2G056569_P01   	26S proteasome AAA-ATPase subunit (RPT2a)	cytosol	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G056870_P01   	proteasome subunit alpha type 5	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G056870_P02   	proteasome subunit alpha type 5, putative, expressed	NULL	29.5.11.20	protein.degradation.ubiquitin.proteasom	NULL	NULL
GRMZM2G056908_P01   	ammonia transporter (TIP2;3) (not water channel?) 	vacuole	34.19.2	transport.Major Intrinsic Proteins.TIP	NULL	NULL
GRMZM2G057000_P01   	cell elongation protein diminuto	NULL	17.3.1.2.8	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF1	NULL	NULL
GRMZM2G057000_P02   	cell elongation protein diminuto	NULL	17.3.1.2.8	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF1	NULL	NULL
GRMZM2G057000_P03   	cell elongation protein diminuto	NULL	17.3.1.2.8	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF1	NULL	NULL
GRMZM2G057000_P04   	cell elongation protein diminuto	NULL	17.3.1.2.8	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF1	NULL	NULL
GRMZM2G057000_P05   	cell elongation protein diminuto	NULL	17.3.1.2.8	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF1	NULL	NULL
GRMZM2G057116_P01   	OsWRKY67 - Superfamily of rice TFs having WRKY and zinc finger domains, expressed	NULL	27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family	NULL	NULL
GRMZM2G057116_P02   	OsWRKY67 - Superfamily of rice TFs having WRKY and zinc finger domains, expressed	NULL	27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family	NULL	NULL
GRMZM2G057159_P01   	xylem serine proteinase 1 	NULL	29.5.1	protein.degradation.subtilases	NULL	NULL
GRMZM2G057159_P02   	 cucumisin 	NULL	29.5.1	protein.degradation.subtilases	NULL	NULL
GRMZM2G057159_P03   	 cucumisin 	NULL	29.5.1	protein.degradation.subtilases	NULL	NULL
GRMZM2G057159_P04   	 xylem serine proteinase 1 	NULL	29.5.1	protein.degradation.subtilases	NULL	NULL
GRMZM2G057243_P01   	 9,10-9,10 carotenoid cleavage dioxygenase 1 (CCD1)	cytosol	16.1.4.10	secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase	NULL	NULL
GRMZM2G057243_P02   	 9,10-9,10 carotenoid cleavage dioxygenase 1 (CCD1)	cytosol	16.1.4.10	secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase	NULL	NULL
GRMZM2G057243_P03   	 9,10-9,10 carotenoid cleavage dioxygenase 1 (CCD1)	cytosol	16.1.4.10	secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase	NULL	NULL
GRMZM2G057243_P04   	 9,10-9,10 carotenoid cleavage dioxygenase 1 (CCD1)	cytosol	16.1.4.10	secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase	NULL	NULL
GRMZM2G057328_P01   	cinnamoyl-CoA reductase	NULL	16.2.1.7 	secondary metabolism.phenylpropanoids.lignin biosynthesis.CCR1	NULL	NULL
GRMZM2G057329_P01   	peptidyl-prolyl cis-trans isomerase H	NULL	31.3.1	cell.cycle.peptidylprolyl isomerase	NULL	NULL
GRMZM2G057329_P02   	peptidyl-prolyl cis-trans isomerase H, putative, expressed	NULL	31.3.1	cell.cycle.peptidylprolyl isomerase	NULL	NULL
GRMZM2G057369_P01   	 anti-silencing protein 1	NULL	27.3.70	RNA.regulation of transcription.Silencing Group	NULL	NULL
GRMZM2G057388_P01   	39S ribosomal protein L12, mitochondrial 	NULL	29.2.1.1.1.2.12	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L12	NULL	NULL
GRMZM2G057388_P02   	39S ribosomal protein L12, mitochondrial 	NULL	29.2.1.1.1.2.12	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L12	NULL	NULL
GRMZM2G057394_P01   	RH21 - DEAD box RNA helicase DDX23	NULL	27.1.2	RNA.processing.RNA helicase	NULL	NULL
GRMZM2G057394_P02   	RH21 - DEAD box RNA helicase DDX23	NULL	27.1.2	RNA.processing.RNA helicase	NULL	NULL
GRMZM2G057437_P01   	SAM domain family protein, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G057437_P02   	SAM domain family protein, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G057437_P03   	SAM domain family protein, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G057441_P01   	ubiquitin-activating enzyme E1 2	NULL	29.5.11.2	protein.degradation.ubiquitin.E1	NULL	NULL
GRMZM2G057448_P01   	 histone-arginine methyltransferase CARM1	NULL	26.6	misc.O- methyl transferases	NULL	NULL
GRMZM2G057448_P02   	 histone-arginine methyltransferase CARM1	NULL	26.6	misc.O- methyl transferases	NULL	NULL
GRMZM2G057448_P03   	 histone-arginine methyltransferase CARM1	NULL	26.6	misc.O- methyl transferases	NULL	NULL
GRMZM2G057448_P04   	 histone-arginine methyltransferase CARM1	NULL	26.6	misc.O- methyl transferases	NULL	NULL
GRMZM2G057450_P01   	splicing factor U2AF 65 kDa subunit	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G057450_P02   	 splicing factor U2AF 65 kDa subunit	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G057450_P03   	 splicing factor U2AF 65 kDa subunit	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G057450_P04   	 splicing factor U2AF 65 kDa subunit	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G057450_P05   	 splicing factor U2AF 65 kDa subunit	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G057450_P06   	 splicing factor U2AF 65 kDa subunit	NULL	27.1.1	RNA.processing.splicing	NULL	NULL
GRMZM2G057491_P01   	 glutamyl-tRNA synthetase, cytoplasmic	NULL	29.1.17	protein.aa activation.glutamate-tRNA ligase	NULL	NULL
GRMZM2G057508_P01   	unknown protein DUF786 domain	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G057508_P02   	unknown protein DUF786 domain	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G057522_P01   	unknown protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G057535_P01   	elongation factor 1-alpha / EF-1-alpha (abundant)	not plastid	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G057554_P01   	GCN5-related N-acetyltransferase (GNAT) 	NULL	26.24	misc.GCN5-related N-acetyltransferase	NULL	NULL
GRMZM2G057554_P02   	GCN5-related N-acetyltransferase (GNAT) 	NULL	26.24	misc.GCN5-related N-acetyltransferase	NULL	NULL
GRMZM2G057571_P01   	 nucleic acid binding protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G057576_P01   	clathrin heavy chain	not plastid	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G057576_P02   	clathrin heavy chain, putative, expressed	NULL	31.4	cell.vesicle transport	NULL	NULL
GRMZM2G057608_P01   	40S ribosomal protein S25-1	cytosol	29.2.1.2.1.25	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25	NULL	NULL
GRMZM2G057608_P03   	40S ribosomal protein S25-1	not plastid	29.2.1.2.1.25	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25	NULL	NULL
GRMZM2G057608_P04   	40S ribosomal protein S25-1	not plastid	29.2.1.2.1.25	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25	NULL	NULL
GRMZM2G057608_P05   	40S ribosomal protein S25-1	not plastid	29.2.1.2.1.25	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25	NULL	NULL
GRMZM2G057642_P01   	RNA-binding protein 25	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G057642_P02   	RNA-binding protein 25, putative, expressed	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G057642_P03   	RNA-binding protein 25, putative, expressed	NULL	27.4	RNA.RNA binding	NULL	NULL
GRMZM2G057724_P01   	aspartyl protease 	vacuole	29.5.4	protein.degradation.aspartate protease	NULL	NULL
GRMZM2G057779_P01   	 hypro1	NULL	29.7	protein.glycosylation	NULL	NULL
GRMZM2G057823_P01   	fructose-1,6-bisphosphate aldolase 1-1 (F16BPA-1-1)	cytosol	4.7	glycolysis.aldolase	NULL	NULL
GRMZM2G057852_P01   	histone H2B 	nucleus	28.1.3	DNA.synthesis/chromatin structure.histone	NULL	NULL
GRMZM2G057853_P01   	seh1-like protein, putative, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G057865_P01   	small nuclear ribonucleoprotein G	NULL	27.1	RNA.processing	NULL	NULL
GRMZM2G057865_P02   	small nuclear ribonucleoprotein G, putative, expressed	NULL	27.1	RNA.processing	NULL	NULL
GRMZM2G057942_P01   	aspartyl aminopeptidase	NULL	29.5.4	protein.degradation.aspartate protease	NULL	NULL
GRMZM2G057942_P02   	 aspartyl aminopeptidase	NULL	29.5.4	protein.degradation.aspartate protease	NULL	NULL
GRMZM2G057942_P03   	 aspartyl aminopeptidase	NULL	29.5.4	protein.degradation.aspartate protease	NULL	NULL
GRMZM2G057959_P01   	 cyclase/dehydrase family protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G058057_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058098_P01   	 RNA Binding Protein 45	NULL	27.3.99	RNA.regulation of transcription.unclassified	NULL	NULL
GRMZM2G058120_P01   	expressed protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G058138_P01   	 eukaryotic translation initiation factor 2 alpha subunit	NULL	29.2.3	protein.synthesis.initiation	NULL	NULL
GRMZM2G058138_P02   	 eukaryotic translation initiation factor 2 alpha subunit	NULL	29.2.3	protein.synthesis.initiation	NULL	NULL
GRMZM2G058138_P03   	 eukaryotic translation initiation factor 2 alpha subunit	NULL	29.2.3	protein.synthesis.initiation	NULL	NULL
GRMZM2G058244_P01   	 UDP-glucose 6-dehydrogenase	NULL	10.1.4	cell wall.precursor synthesis.UGD	NULL	NULL
GRMZM2G058261_P01   	amine oxidase-related 	NULL	26.7	misc.oxidases - copper, flavone etc.	NULL	NULL
GRMZM2G058276_P01   	T-complex protein 1 subunit beta	NULL	29.6	protein.folding	NULL	NULL
GRMZM2G058305_P01   	calcium-dependent protein kinase	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G058305_P02   	 calcium-dependent protein kinase, isoform 2	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G058305_P03   	 calcium-dependent protein kinase, isoform 2	NULL	30.3	signalling.calcium	NULL	NULL
GRMZM2G058310_P01   	beta-amylase 5 (BAM5 or BMY1 or RAM1) (mesophyll vacuole)	vacuole	2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage	NULL	NULL
GRMZM2G058310_P02   	 beta-amylase	NULL	2.2.2.1	major CHO metabolism.degradation.starch.starch cleavage	NULL	NULL
GRMZM2G058374_P01   	nucleoporin, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058407_P01   	signal recognition particle 9 kDa protein, putative, expressed	NULL	29.3.4.99	protein.targeting.secretory pathway.unspecified	NULL	NULL
GRMZM2G058432_P01   	mitochondrial import inner membrane translocase subunit Tim13	mitochondria	29.3.2	protein.targeting.mitochondria	NULL	NULL
GRMZM2G058447_P01   	expressed protein	NULL	20	stress	NULL	NULL
GRMZM2G058498_P01   	rae1-like protein, putative, expressed	NULL	27.1	RNA.processing	NULL	NULL
GRMZM2G058522_P01   	copper/zinc superoxide dismutase 1-1 (Cu-Zn or CSD1) 	cytosol	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P02   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P03   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P04   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P05   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P06   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P07   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P08   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058522_P09   	superoxide dismutase (Cu-Zn) (SODCC)(CSD1) (this is not the chloroplast protein)	NULL	21.6	redox.dismutases and catalases	NULL	NULL
GRMZM2G058560_P01   	serine/threonine-protein phosphatase 2A activator 2	NULL	29.4.5	protein.postranslational modification.phosphatase	NULL	NULL
GRMZM2G058612_P01   	 ubiquitin-protein ligase	NULL	29.5.11.4.3.2	protein.degradation.ubiquitin.E3.SCF.FBOX	NULL	NULL
GRMZM2G058655_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058655_P02   	no Arabidopsis or rice homologue	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058655_P03   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058655_P04   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058655_P05   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058655_P06   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058675_P01   	aldehyde dehydrogenase (ALDH3) - high in BS tip	NULL	5.1	fermentation.aldehyde dehydrogenase	NULL	NULL
GRMZM2G058675_P02   	 aldehyde dehydrogenase, mitochondrial 	NULL	5.1	fermentation.aldehyde dehydrogenase	NULL	NULL
GRMZM2G058734_P01   	myosin heavy chain-related 	NULL	31.1	cell.organisation	NULL	NULL
GRMZM2G058745_P01   	hexokinase-2-1 (HxK2-1)	NULL	2.2.1.4	major CHO metabolism.degradation.sucrose.hexokinase	NULL	NULL
GRMZM2G058745_P02   	 hexokinase-1	NULL	2.2.1.4	major CHO metabolism.degradation.sucrose.hexokinase	NULL	NULL
GRMZM2G058870_P01   	 brefeldin A-inhibited guanine nucleotide-exchange protein 2	NULL	30.5	signalling.G-proteins	NULL	NULL
GRMZM2G058910_P01   	vacuolar ATP synthase 91 kDa subunit	NULL	34.1	transport.p- and v-ATPases	NULL	NULL
GRMZM2G058910_P02   	 vacuolar ATP synthase 91 kDa subunit	NULL	34.1	transport.p- and v-ATPases	NULL	NULL
GRMZM2G058923_P01   	50S ribosomal protein L15	NULL	29.2.1.1.3.2.15	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L15	NULL	NULL
GRMZM2G058930_P01   	 selenium-binding protein	NULL	15	metal handling	NULL	NULL
GRMZM2G058966_P01   	cleavage and polyadenylation specificity factor 5, putative, expressed	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058966_P02   	cleavage and polyadenylation specificity factor 5	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G058970_P01   	expressed protein	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G059015_P01   	nucleoporin nup189	NULL	29.3.1	protein.targeting.nucleus	NULL	NULL
GRMZM2G059026_P01   	expressed protein (Lon related?) low scores	NULL	29.5	protein.degradation	NULL	NULL
GRMZM2G059151_P01   	pyrophosphate-fructose 6-phosphate 1-phosphotransferase beta (PFP-beta)	cytosol	4.5	glycolysis.pyrophosphate-fructose-6-P phosphotransferase	NULL	NULL
GRMZM2G059165_P01   	 xylem serine proteinase 1 	NULL	29.5.1	protein.degradation.subtilases	NULL	NULL
GRMZM2G059282_P01   	SKP1 family protein 	NULL	29.5.11.4.3.1	protein.degradation.ubiquitin.E3.SCF.SKP	NULL	NULL
GRMZM2G059282_P02   	 elongin C	NULL	29.5.11.4.3.1	protein.degradation.ubiquitin.E3.SCF.SKP	NULL	NULL
GRMZM2G059556_P01   	NADH ubiquinone oxidoreductase 13kD-like subunit	mitochondria	9.1.2	mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear	NULL	NULL
GRMZM2G059580_P01   	elongation factor 1B-gamma / eEF-1B gamma (abundant)	not plastid	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G059580_P02   	elongation factor 1B-gamma / eEF-1B gamma (abundant)	not plastid	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G059580_P03   	elongation factor 1B-gamma / eEF-1B gamma (abundant)	not plastid	29.2.4	protein.synthesis.elongation	NULL	NULL
GRMZM2G059618_P01   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G059618_P03   	expressed protein	NULL	35.2	not assigned.unknown	NULL	NULL
GRMZM2G059624_P01   	40S ribosomal protein S15a	NULL	29.2.1.2.1.515	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15A	NULL	NULL
GRMZM2G059693_P01   	lipase class 3 family protein 	NULL	11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase	NULL	NULL
GRMZM2G059693_P02   	lipase class 3 family protein 	NULL	11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase	NULL	NULL
GRMZM2G059693_P03   	lipase class 3 family protein 	NULL	11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase	NULL	NULL
GRMZM2G059693_P04   	lipase class 3 family protein 	NULL	11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase	NULL	NULL
GRMZM2G059706_P01   	 disease resistance response protein 206	NULL	20.1.7	stress.biotic.PR-proteins	NULL	NULL
GRMZM2G059937_P01   	porin	mitochondria	34.9	transport.metabolite transporters at the mitochondrial membrane	NULL	NULL
GRMZM2G060156_P01   	naphthoate synthase	NULL	18.5.2.5	Co-factor and vitamine metabolism.vitamine K.naphthoate synthase	NULL	NULL
GRMZM2G060156_P02   	 naphthoate synthase	NULL	18.5.2.5	Co-factor and vitamine metabolism.vitamine K.naphthoate synthase	NULL	NULL
GRMZM2G060163_P01   	ribonucleoside-diphosphate reductase small chain	NULL	23.5.4	nucleotide metabolism.deoxynucleotide metabolism.ribonucleoside-diphosphate reductase	NULL	NULL
GRMZM2G060296_P01   	 signal recognition particle receptor alpha subunit	NULL	29.3.4.99	protein.targeting.secretory pathway.unspecified	NULL	NULL
GRMZM2G060296_P02   	 signal recognition particle receptor alpha subunit	NULL	29.3.4.99	protein.targeting.secretory pathway.unspecified	NULL	NULL
GRMZM2G060296_P03   	 signal recognition particle receptor alpha subunit	NULL	29.3.4.99	protein.targeting.secretory pathway.unspecified	NULL	NULL
GRMZM2G060357_P01   	cytochrome b561-2	not plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G060357_P02   	cytochrome b561-2	not plastid	35.2	not assigned.unknown	NULL	NULL
GRMZM2G060481_P01   	3-ketoacyl-CoA synthase	NULL	16.7	secondary metabolism.wax	NULL	NULL
GRMZM2G060505_P01   	MPPN domain containing protein, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
GRMZM2G060505_P02   	MPPN domain containing protein, expressed	NULL	35.1	not assigned.no ontology	NULL	NULL
